Job Title,Job Company,Job Location,Job Type,Job Pay,Job Excerpt
Registered Nurse/COVID 19 Contact Tracing & Testing-Temporar...,HPM Corporation,"Richland, WA 99354",Not remote,Pay details not available,"

Ability to conduct contact tracing per CDC, state and local health district guidelines.
Conduct contact tracing following the CDC, Washington State Department…
"
LTE-Public Health Contact Tracing Specialist,City of Menasha,"Menasha, WI 54952",Not remote,Pay details not available,"

Maintain contact with MHD staff.
Key responsibilities: Interviews clients and conducts disease investigations including contact tracing activities in accordance…
"
"Bilingual Nurse Investigator, RN",Arkansas Foundation for Medical Care,Arkansas,Not remote,Pay details not available,"

Provide the first point of contact for COVID-19 positive individuals.
Provide clinical advice to cases and their contacts as directed by protocols and…
"
LPN - Licensed Practical Nurse - Employee Health- Columbine...,Columbine Health Systems,"Fort Collins, CO 80526",Not remote,Pay details not available,"

This LPN position offers competitive pay, Monday through Friday with every other weekend on-call duty for COVID-19 Contact Tracing.
18 years of age or older.
"
Representantes Bilingues en Ingles y Espanol Call Center COV...,MCI Careers,Not specified,Not remote,Pay details not available,"

Complete research of beneficiary contact history and report findings to management.
Handle inbound and outbound contacts in a courteous, timely, and…
"
Community Health Worker/ Data Coordinator - Health Departmen...,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Key duties & responsibilities Data Collection: Serve as the point of contact for Baltimore care coordination or contact tracing data collection from community…
"
Social Work Care Coordinator - Health Department,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Applicants who are hired for this position will undergo training that allows them to learn the fundamental principles of becoming a community health worker in…
"
Community Health Worker / Care Coordinator - Health Departme...,City of Baltimore,"Street, MD",Not remote,"$39,000 a year","

Applicants hired for this position will undergo training to learn the fundamental principles of becoming a community health worker in addition to understanding…
"
Occupational Health Nurse (RN or LPN) – Contact Tracing,Professional Staffing Group,Not specified,Not remote,Pay details not available,"

The RN or LPN will be mainly working in an administrative capacity.
Regular responsibilities will revolve around data sorting and clerical record maintenance.
"
Conversion and Care Coordination Manager - Health Department,City of Baltimore,"Street, MD",Not remote,Pay details not available,"

This includes managing a team of Disease Reactor Coordinators who will coordinate management of clients between case investigation, contact tracing and outbreak…
"
Community Health Worker Supervisor - Health Department,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

The CHW supervisor will also conduct contact tracing and provide public health messages as needed using approved BCHD scripts.
"
Community Health Nurse - COVID-19 Case Investigator (Tempora...,Ottawa County,"Holland, MI 49424",Remote,Pay details not available,"

Complete an assessment of other high-risk contacts to complete the contact investigation of household and high-risk contacts the positive case may have…
"
Public Health Nurse - COVID-19 Response,Mohave County,"Kingman, AZ 86402",Not remote,Pay details not available,"

Communicates and acts in a professional manner with the public, co-workers, and work contacts.
Communicating and maintaining professionalism (demonstrating…
"
Partner Coordinator - Health Department,City of Baltimore,"Street, MD",Not remote,Pay details not available,"

Maintain communication with partners and ensure contact tracing follows health department policies.
Communicate with local partners to recruit, establish, and…
"
Community Health Worker / Care Coordination Director - Healt...,City of Baltimore,"Street, MD",Not remote,"$80,000 a year","

The Director will also be the point of contact for all community stakeholders as well as the Baltimore City Health Department.
"
Physician (Temporary Provider NTE 1 Year - Occupational Heal...,US Department of Veterans Affairs,"Orlando, FL",Not remote,"$185,000 - $243,000 a year","

Assisting with contact tracing and risk stratification of employee exposures associated with infectious outbreaks such as COVID-19 and the Flu.
"
Registered Nurse/COVID 19 Contact Tracing & Testing-Temporar...,HPM Corporation,"Richland, WA 99354",Not remote,Pay details not available,"

Ability to conduct contact tracing per CDC, state and local health district guidelines.
Conduct contact tracing following the CDC, Washington State Department…
"
LTE-Public Health Contact Tracing Specialist,City of Menasha,"Menasha, WI 54952",Not remote,Pay details not available,"

Maintain contact with MHD staff.
Key responsibilities: Interviews clients and conducts disease investigations including contact tracing activities in accordance…
"
"Bilingual Nurse Investigator, RN",Arkansas Foundation for Medical Care,Arkansas,Not remote,Pay details not available,"

Provide the first point of contact for COVID-19 positive individuals.
Provide clinical advice to cases and their contacts as directed by protocols and…
"
LPN - Licensed Practical Nurse - Employee Health- Columbine...,Columbine Health Systems,"Fort Collins, CO 80526",Not remote,Pay details not available,"

This LPN position offers competitive pay, Monday through Friday with every other weekend on-call duty for COVID-19 Contact Tracing.
18 years of age or older.
"
Community Health Worker/ Data Coordinator - Health Departmen...,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Key duties & responsibilities Data Collection: Serve as the point of contact for Baltimore care coordination or contact tracing data collection from community…
"
Occupational Health Nurse (RN or LPN) – Contact Tracing,Professional Staffing Group,Not specified,Not remote,Pay details not available,"

The RN or LPN will be mainly working in an administrative capacity.
Regular responsibilities will revolve around data sorting and clerical record maintenance.
"
Social Work Care Coordinator - Health Department,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Applicants who are hired for this position will undergo training that allows them to learn the fundamental principles of becoming a community health worker in…
"
Community Health Worker / Care Coordinator - Health Departme...,City of Baltimore,"Street, MD",Not remote,"$39,000 a year","

Applicants hired for this position will undergo training to learn the fundamental principles of becoming a community health worker in addition to understanding…
"
Conversion and Care Coordination Manager - Health Department,City of Baltimore,"Street, MD",Not remote,Pay details not available,"

This includes managing a team of Disease Reactor Coordinators who will coordinate management of clients between case investigation, contact tracing and outbreak…
"
Community Health Worker Supervisor - Health Department,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

The CHW supervisor will also conduct contact tracing and provide public health messages as needed using approved BCHD scripts.
"
Community Health Nurse - COVID-19 Case Investigator (Tempora...,Ottawa County,"Holland, MI 49424",Remote,Pay details not available,"

Complete an assessment of other high-risk contacts to complete the contact investigation of household and high-risk contacts the positive case may have…
"
